,x,y,value
273,43.56,-58.61,-1
274,59.89,-30.53,-1
275,-60.95,41.31,1
276,96.83,74.99,1
277,33.76,-61.31,-1
278,-3.18,-9.02,-1
279,-18.67,24.14,1
280,83.29,-98.69,-1
281,-37.8,73.13,1
282,43.77,89.75,1
283,-93.11,-89.91,-1
284,98.45,-20.63,-1
285,-14.68,-32.3,-1
286,-43.36,-6.69,-1
287,-51.37,77.71,1
288,-34.32,-10.47,-1
289,1.95,91.93,1
290,-17.8,46.27,1
291,-44.96,78.7,1
292,16.96,60.82,1
293,37.61,-60.09,-1
294,-31.54,86.95,1
295,25.58,-32.89,-1
296,-6.93,-64.57,-1
297,-92.09,-61.32,-1
298,86.55,-95.67,-1
299,78.67,-2.88,-1
300,-55.25,-75.37,-1
301,63.96,22.46,1
302,87.62,1.99,1
303,43.25,64.83,1
304,16.92,73.14,1
305,6.06,-99.73,-1
306,-59.41,44.93,1
307,47.3,14.75,1
308,-0.13,76.71,1
309,30.87,11.2,1
310,87.24,61.31,1
311,-62.95,23.71,1
312,25.3,-33.19,-1
313,82.48,-98.74,-1
314,-9.03,96.0,1
315,67.43,-34.84,-1
316,51.25,96.88,1
317,69.38,34.0,1
318,0.05,-44.2,-1
319,47.25,73.98,1
320,-35.33,17.77,1
321,72.42,-98.85,-1
322,27.52,89.84,1
323,39.54,32.79,1
324,10.1,91.5,1
325,-77.81,61.44,1
326,-18.86,-4.69,-1
327,-93.2,33.36,1
328,-48.86,30.19,1
329,-11.45,-41.63,-1
330,-75.95,98.39,1
331,-96.69,14.5,1
332,-13.31,34.72,1
333,78.33,-0.5,-1
334,-50.17,51.41,1
335,-15.02,58.77,1
336,-44.42,53.06,1
337,67.22,-85.13,-1
338,-11.26,67.2,1
339,-67.69,93.53,1
340,38.47,-77.15,-1
341,16.38,-78.05,-1
342,44.99,-93.54,-1
343,-46.22,66.18,1
344,-47.04,-69.51,-1
345,31.7,-9.63,-1
346,98.24,-0.26,-1
347,-31.56,73.04,1
348,-31.94,-22.27,-1
349,9.42,-11.84,-1
350,-77.54,-75.47,-1
351,71.44,20.65,1
352,53.33,67.61,1
353,82.73,-83.71,-1
354,-44.77,-2.72,-1
355,82.26,-11.61,-1
356,16.6,99.77,1
357,-23.95,28.63,1
358,83.84,30.97,1
359,-43.53,58.47,1
360,-14.96,8.01,1
361,-27.16,-15.21,-1
362,99.86,-19.98,-1
363,-90.0,31.92,1
364,3.72,41.48,1
365,-18.6,-11.83,-1
366,-37.78,-76.24,-1
367,-45.73,89.77,1
368,45.35,90.52,1
369,-51.45,98.65,1
370,-14.16,50.53,1
371,72.55,-46.75,-1
372,-54.58,-54.75,-1
373,44.4,18.32,1
374,1.5,31.31,1
375,-21.2,-62.05,-1
376,-32.44,0.1,-1
377,-77.65,-65.14,-1
378,-25.42,30.09,1
379,5.3,61.33,1
380,-67.25,-38.81,-1
381,-85.27,-81.87,-1
382,95.79,-92.38,-1
383,-29.04,-88.63,-1
384,62.02,73.19,1
385,44.92,12.21,1
386,-10.03,-61.32,-1
387,-43.42,-68.8,-1
388,-27.24,30.97,1
389,-23.58,62.2,1
390,47.39,23.82,1
391,-44.76,-24.08,-1
392,-22.76,-7.06,-1
393,51.57,79.24,1
394,90.03,27.66,1
395,-30.57,48.01,1
396,-15.5,8.17,1
397,62.63,94.51,1
398,-63.65,-29.93,-1
399,-74.17,-84.86,-1
400,-94.95,-98.29,-1
401,57.41,4.71,1
402,25.54,90.13,1
403,-5.89,-35.82,-1
404,31.04,-47.55,-1
405,-50.11,-90.02,-1
406,-95.03,26.9,1
407,-52.43,77.79,1
408,-81.29,85.05,1
409,24.35,-16.72,-1
410,-57.41,-73.95,-1
411,51.67,-0.59,-1
412,-95.27,-88.38,-1
413,75.95,-80.07,-1
414,72.0,-57.76,-1
415,-85.98,-10.35,-1
416,-61.52,41.72,1
417,-70.17,-37.71,-1
418,-90.95,63.72,1
419,-57.3,-8.49,-1
420,-37.11,46.64,1
421,27.69,8.07,1
422,-12.2,-14.86,-1
423,-20.35,-19.58,-1
424,-80.28,92.65,1
425,93.49,-42.57,-1
426,14.56,40.4,1
427,98.36,83.58,1
428,71.1,-80.08,-1
429,15.74,79.21,1
430,35.21,76.32,1
431,-34.68,75.76,1
432,38.97,-77.04,-1
433,-12.48,-76.32,-1
434,-17.57,-41.82,-1
435,-68.36,-50.52,-1
436,-80.77,-33.37,-1
437,40.28,-85.29,-1
438,-82.7,-70.11,-1
439,68.04,53.73,1
440,64.2,21.32,1
441,-67.47,2.46,1
442,-86.86,-58.51,-1
443,74.15,-89.13,-1
444,45.27,-58.0,-1
445,29.49,46.17,1
446,-91.94,71.87,1
447,-11.53,-70.39,-1
448,-18.08,6.63,1
449,-71.89,-1.1,-1
450,-88.8,25.9,1
451,-80.95,-14.48,-1
452,2.63,-57.4,-1
453,-14.71,24.57,1
454,-61.62,-0.47,-1
455,-69.18,39.2,1
456,-19.6,64.73,1
457,82.57,-32.7,-1
458,8.16,10.97,1
459,66.89,28.15,1
460,91.41,57.66,1
461,-65.7,-57.5,-1
462,47.0,71.62,1
463,83.05,90.5,1
464,70.41,75.51,1
465,-90.09,-4.54,-1
466,-48.55,-34.48,-1
467,21.35,27.54,1
468,70.74,6.24,1
469,-68.1,34.18,1
470,13.17,-58.6,-1
471,88.38,-78.75,-1
472,-85.73,-1.54,-1
473,74.87,2.77,1
474,36.83,-2.25,-1
475,4.46,15.54,1
476,-10.66,6.59,1
477,70.42,64.18,1
478,-97.18,72.4,1
479,-60.07,-51.26,-1
480,3.91,6.68,1
481,7.33,87.79,1
482,-77.45,48.05,1
483,-8.38,57.18,1
484,48.81,19.32,1
485,24.69,-74.39,-1
486,89.71,-81.62,-1
487,-55.91,-84.04,-1
488,71.6,61.27,1
489,88.61,-17.46,-1
490,-19.6,88.01,1
491,10.96,18.48,1
492,21.28,31.91,1
493,0.72,52.23,1
494,96.03,11.55,1
495,74.36,66.31,1
496,-45.02,-90.48,-1
497,-51.39,-18.04,-1
498,-27.54,84.41,1
499,-56.29,-63.06,-1
500,-39.52,34.71,1
501,-83.59,-67.49,-1
502,78.81,-12.93,-1
503,-64.96,-33.05,-1
504,-14.25,-78.12,-1
505,87.17,72.48,1
506,-74.28,-76.15,-1
507,-28.77,-43.2,-1
508,67.6,41.58,1
509,-92.85,93.44,1
510,20.62,59.47,1
511,-7.03,-27.94,-1
512,-34.34,95.97,1
513,61.74,-22.93,-1
514,39.4,48.17,1
515,20.31,78.41,1
516,-38.13,57.99,1
517,-76.18,-15.94,-1
518,33.46,-34.02,-1
519,-97.29,74.32,1
520,24.75,68.52,1
521,59.6,-74.97,-1
522,32.29,67.13,1
523,89.49,91.56,1
524,39.45,-86.86,-1
525,15.28,50.22,1
526,-97.91,-37.82,-1
527,-1.91,-98.2,-1
528,77.2,-60.67,-1
529,-0.83,67.93,1
530,3.4,77.93,1
531,87.42,80.67,1
532,-7.43,72.23,1
533,34.81,77.61,1
534,69.69,33.79,1
535,97.51,90.4,1
536,0.84,48.28,1
537,-1.08,-57.1,-1
538,65.91,45.54,1
539,92.1,-54.02,-1
540,80.22,-46.6,-1
541,-17.19,-96.86,-1
542,38.99,85.43,1
543,-88.13,20.7,1
544,37.91,31.77,1
545,-7.75,-94.0,-1
546,-70.36,-70.5,-1
547,-98.43,25.63,1
548,-11.9,52.16,1
549,-10.89,22.1,1
550,57.75,10.27,1
551,27.29,49.47,1
552,-61.83,58.5,1
553,16.16,-52.59,-1
554,36.05,-51.42,-1
555,-94.05,-43.62,-1
556,-14.73,20.5,1
557,-58.35,93.19,1
558,-5.91,35.3,1
559,-15.49,68.35,1
560,-5.87,37.87,1
561,-10.33,42.05,1
562,10.06,59.18,1
563,-29.4,61.01,1
564,31.69,39.3,1
565,-70.06,-78.89,-1
566,-57.58,-32.46,-1
567,-50.98,-24.89,-1
568,-91.44,-66.17,-1
569,-17.03,-48.98,-1
570,57.21,-67.58,-1
571,30.78,-38.59,-1
572,-99.02,-70.79,-1
573,40.14,-83.34,-1
574,80.09,-28.48,-1
575,75.14,38.24,1
576,13.6,-84.59,-1
577,-66.2,81.15,1
578,37.5,-61.13,-1
579,-13.06,-8.66,-1
580,-41.34,57.19,1
581,-84.38,-29.81,-1
582,-71.43,27.7,1
583,-59.44,46.56,1
584,-3.59,66.4,1
585,63.17,28.8,1
586,-61.94,98.61,1
587,57.02,-65.33,-1
588,-51.14,26.6,1
589,-34.08,-45.24,-1
590,70.63,-15.59,-1
591,36.51,75.87,1
592,-5.44,61.37,1
593,78.51,-29.68,-1
594,10.45,59.24,1
595,-66.3,-97.2,-1
596,13.66,-12.34,-1
597,-81.51,77.12,1
598,44.26,-1.75,-1
599,-66.99,-25.11,-1
600,66.46,-10.04,-1
601,-11.42,-19.28,-1
602,34.88,-51.4,-1
603,-57.34,-16.02,-1
604,-36.01,33.6,1
605,83.77,96.11,1
606,-80.86,74.58,1
607,99.55,66.9,1
608,-51.23,35.59,1
609,-11.48,-8.32,-1
610,57.33,0.2,-1
611,-12.5,60.99,1
612,-29.75,63.43,1
613,20.48,96.28,1
614,54.18,-20.82,-1
615,10.88,-42.28,-1
616,98.48,-40.63,-1
617,90.23,47.82,1
618,75.23,-51.04,-1
619,-80.95,65.13,1
620,6.82,73.17,1
621,-55.75,-30.15,-1
622,3.33,61.78,1
623,57.41,8.14,1
624,-61.21,-58.09,-1
625,-54.09,-15.97,-1
626,-26.27,-71.16,-1
627,76.56,-83.61,-1
628,84.5,-43.62,-1
629,-61.95,-25.87,-1
630,84.56,-34.66,-1
631,64.82,85.98,1
632,0.88,38.36,1
633,7.36,-98.62,-1
634,-93.43,0.04,-1
635,-27.83,-72.29,-1
636,-26.44,-8.2,-1
637,11.76,-11.83,-1
638,96.98,69.87,1
639,24.28,-92.43,-1
640,-60.14,8.08,1
641,13.71,-54.31,-1
642,-62.85,-17.82,-1
643,-53.06,88.09,1
644,-86.56,13.7,1
645,-74.65,-69.92,-1
646,-66.19,-1.71,-1
647,3.88,-18.43,-1
648,-11.75,73.54,1
649,-83.7,18.54,1
650,-89.79,-74.34,-1
651,-54.45,30.85,1
652,21.91,-20.69,-1
653,-69.25,7.74,1
654,-10.34,-97.4,-1
655,68.83,5.45,1
656,-63.24,15.46,1
657,-58.75,98.62,1
658,-11.18,32.76,1
659,-70.16,88.95,1
660,72.92,55.83,1
661,84.95,37.2,1
662,75.55,29.03,1
663,-1.34,-28.11,-1
664,-0.83,79.93,1
665,-56.38,-82.33,-1
666,96.63,66.63,1
667,-64.0,-42.61,-1
668,-21.17,-29.55,-1
669,42.41,-10.06,-1
670,78.89,-93.46,-1
671,-17.95,76.56,1
672,-11.23,73.71,1
673,-14.24,55.06,1
674,-58.69,32.14,1
675,-66.01,22.38,1
676,-77.37,78.32,1
677,18.99,78.5,1
678,82.02,66.25,1
679,90.32,-90.04,-1
680,0.96,45.97,1
681,-56.68,-48.96,-1
682,-75.64,89.81,1
683,-53.5,-29.14,-1
684,58.62,9.92,1
685,19.63,-4.21,-1
686,-47.65,-49.02,-1
687,25.08,44.08,1
688,32.92,-61.38,-1
689,96.93,-52.44,-1
690,-11.61,-3.24,-1
691,97.81,-97.32,-1
692,76.05,-96.83,-1
693,-56.56,24.35,1
694,84.12,-66.86,-1
695,50.57,-90.05,-1
696,41.54,96.13,1
697,38.37,-9.54,-1
698,21.28,33.83,1
699,33.08,98.5,1
700,51.38,-82.55,-1
701,-67.5,54.25,1
702,-87.75,-99.81,-1
703,-86.22,-63.59,-1
704,92.47,-54.27,-1
705,73.81,66.48,1
706,16.74,80.56,1
707,-11.24,86.19,1
708,16.79,55.29,1
709,-19.67,-21.42,-1
710,-65.42,84.27,1
711,17.21,-48.02,-1
712,-61.86,-86.71,-1
713,2.79,38.41,1
714,13.46,-16.94,-1
715,-81.76,42.49,1
716,35.96,23.3,1
717,17.55,-3.69,-1
718,11.81,44.51,1
719,-22.0,99.76,1
720,70.06,-52.7,-1
721,-81.64,11.9,1
722,-62.81,68.11,1
723,-43.58,77.94,1
724,59.72,11.73,1
725,-60.2,90.96,1
726,-92.91,57.37,1
727,-31.45,25.57,1
728,-42.76,30.16,1
729,-25.36,-67.34,-1
730,-18.62,9.97,1
731,7.82,-19.67,-1
732,51.16,54.39,1
733,21.09,61.42,1
734,-36.51,41.55,1
735,44.37,30.69,1
736,77.61,-60.55,-1
737,87.24,59.99,1
738,-12.69,-58.97,-1
739,-50.89,-96.09,-1
740,23.24,35.86,1
741,-64.3,-91.41,-1
742,-75.56,-40.05,-1
743,50.33,23.54,1
744,64.5,-5.47,-1
745,-49.05,-49.45,-1
746,71.9,-65.36,-1
747,-16.58,-93.85,-1
748,52.18,29.94,1
749,-25.17,76.2,1
750,28.05,-98.26,-1
751,78.29,-18.26,-1
752,38.59,-47.94,-1
753,-41.33,12.22,1
754,-21.64,-75.08,-1
755,75.75,82.79,1
756,-47.27,-42.46,-1
757,23.1,91.8,1
758,-92.94,68.13,1
759,-28.94,40.05,1
760,-22.78,-86.75,-1
761,68.97,-37.67,-1
762,65.16,75.88,1
763,-74.7,-18.77,-1
764,30.47,52.35,1
765,-60.98,85.79,1
766,-84.16,26.8,1
767,-70.62,83.48,1
768,-69.01,56.93,1
769,-85.27,69.89,1
770,-21.63,-96.02,-1
771,-93.17,2.23,1
772,52.83,-8.89,-1
773,36.17,-45.38,-1
774,94.95,-56.36,-1
775,84.04,4.3,1
776,75.2,47.02,1
777,64.36,36.84,1
778,81.47,-45.08,-1
779,29.59,27.49,1
780,-34.23,62.33,1
781,-8.77,17.96,1
782,-50.37,-14.99,-1
783,85.75,-8.42,-1
784,-42.61,-72.59,-1
785,18.13,10.13,1
786,-53.24,-15.31,-1
787,-16.44,-17.34,-1
788,14.47,25.91,1
789,-8.54,85.29,1
790,53.27,-95.59,-1
791,-51.17,-57.32,-1
792,-17.19,-25.98,-1
793,-35.61,-76.92,-1
794,89.84,76.14,1
795,-34.99,77.93,1
796,40.64,-21.42,-1
797,89.27,-54.39,-1
798,81.5,50.89,1
799,28.22,-35.83,-1
800,-72.95,-74.72,-1
801,-49.84,-81.16,-1
802,-90.09,32.83,1
803,25.37,36.72,1
804,-54.96,93.66,1
805,95.59,-57.68,-1
806,76.45,79.02,1
807,-75.7,-20.96,-1
808,25.06,-54.32,-1
809,-6.4,-33.68,-1
810,30.14,16.93,1
811,-41.58,-26.24,-1
812,-2.41,-52.88,-1
813,13.94,61.25,1
814,75.42,-4.4,-1
815,-70.98,68.52,1
816,-2.05,-31.57,-1
817,51.86,-92.83,-1
818,-4.88,94.18,1
819,-66.24,22.1,1
820,45.35,-16.48,-1
821,-80.92,-82.94,-1
822,3.41,-47.61,-1
823,-56.63,-66.16,-1
824,-63.14,42.63,1
825,92.18,-19.43,-1
826,-31.89,65.22,1
827,66.37,30.03,1
828,-60.17,-30.48,-1
829,25.77,69.55,1
830,-56.11,89.51,1
831,-16.58,-98.81,-1
832,-60.39,-33.96,-1
833,84.38,23.87,1
834,57.95,78.58,1
835,-24.42,-12.3,-1
836,-87.65,-45.03,-1
837,81.65,64.77,1
838,-23.62,34.49,1
839,-10.32,38.01,1
840,30.59,-10.88,-1
841,61.86,-67.98,-1
842,-57.54,-38.84,-1
843,83.34,-94.8,-1
844,48.74,-85.31,-1
845,60.05,-29.77,-1
846,29.08,76.5,1
847,10.18,-20.22,-1
848,-69.19,-74.74,-1
849,-86.03,38.49,1
850,44.76,-38.14,-1
851,-43.24,95.07,1
852,64.49,-37.75,-1
853,67.03,26.09,1
854,70.99,18.14,1
855,-35.43,-23.75,-1
856,17.87,92.03,1
857,-78.87,11.75,1
858,-83.03,50.22,1
859,-85.52,-42.08,-1
860,-51.61,-6.44,-1
861,53.73,-85.9,-1
862,91.14,64.18,1
863,-78.75,85.28,1
864,29.85,-69.86,-1
865,31.05,67.68,1
866,87.57,-1.28,-1
867,29.23,-12.21,-1
868,15.4,54.21,1
869,-83.92,80.94,1
870,56.35,-94.29,-1
871,39.86,-0.19,-1
872,92.89,3.97,1
873,-51.05,95.33,1
874,93.11,82.1,1
875,-8.98,-78.42,-1
876,98.95,18.28,1
877,36.02,28.12,1
878,70.33,-92.26,-1
879,88.62,90.62,1
880,-62.81,-87.9,-1
881,88.02,73.52,1
882,-95.29,-66.93,-1
883,8.8,10.32,1
884,20.69,80.51,1
885,-88.71,21.29,1
886,90.94,-75.7,-1
887,58.9,-72.56,-1
888,76.81,46.21,1
889,9.6,63.86,1
890,78.28,-98.89,-1
891,-47.34,6.5,1
892,18.24,-29.9,-1
893,-52.12,90.12,1
894,-51.44,93.19,1
895,-64.65,32.37,1
896,3.94,66.67,1
897,37.9,17.97,1
898,11.87,-14.88,-1
899,99.5,20.74,1
900,-87.68,-79.21,-1
901,-19.18,-13.0,-1
902,30.1,80.35,1
903,-6.99,88.01,1
904,-72.65,-75.46,-1
905,-44.17,-12.42,-1
906,35.59,-72.71,-1
907,-58.63,-7.46,-1
908,80.49,-13.89,-1
909,-23.05,-31.0,-1
910,-67.62,-9.2,-1
911,57.42,-84.57,-1
912,67.82,-1.27,-1
913,-33.19,78.14,1
914,-75.39,80.45,1
915,3.36,11.3,1
916,-3.0,69.13,1
917,-56.34,-88.45,-1
918,44.9,19.25,1
919,-87.79,-90.6,-1
920,3.37,36.8,1
921,-46.33,82.51,1
922,-86.69,92.79,1
923,72.31,39.12,1
924,-39.59,-35.31,-1
925,-23.71,-62.4,-1
926,92.49,-57.39,-1
927,92.25,65.88,1
928,-59.88,-12.65,-1
929,50.18,-35.68,-1
930,-81.89,18.39,1
931,49.46,9.74,1
932,16.22,-27.99,-1
933,-96.94,-95.43,-1
934,60.15,-89.43,-1
935,-46.14,-17.0,-1
936,80.86,-86.94,-1
937,-97.0,-24.61,-1
938,-72.27,71.8,1
939,-43.21,-88.5,-1
940,73.06,-34.39,-1
941,-31.38,45.15,1
942,-5.38,-20.37,-1
943,60.72,65.77,1
944,21.69,6.46,1
945,28.44,-75.93,-1
946,-36.03,94.74,1
947,-40.53,-38.56,-1
948,-2.7,90.46,1
949,39.67,55.32,1
950,19.1,-92.41,-1
951,59.69,-93.24,-1
952,-65.67,89.38,1
953,41.71,90.77,1
954,12.59,11.04,1
955,-75.74,37.68,1
956,-36.01,68.5,1
957,61.98,99.21,1
958,84.68,80.34,1
959,64.19,56.5,1
960,96.59,88.64,1
961,47.48,97.82,1
962,54.39,-45.81,-1
963,-12.1,71.85,1
964,-1.2,84.63,1
965,29.9,99.02,1
966,76.85,-15.09,-1
967,-16.32,1.66,1
968,-95.2,98.11,1
969,-84.98,49.93,1
970,49.92,16.5,1
971,-23.94,66.45,1
972,45.54,-31.47,-1
973,55.97,9.96,1
974,-52.55,25.79,1
975,43.31,-82.23,-1
976,-63.56,16.75,1
977,-97.32,-16.18,-1
978,77.3,-82.3,-1
979,0.41,24.1,1
980,-95.1,6.32,1
981,10.8,1.19,1
982,93.06,-83.71,-1
983,-31.66,-73.22,-1
984,7.68,-60.72,-1
985,-78.29,-57.94,-1
986,-3.57,34.23,1
987,99.04,11.66,1
988,-23.8,-91.09,-1
989,-40.04,65.2,1
990,88.1,19.86,1
991,-0.88,-3.75,-1
992,23.86,37.76,1
993,72.49,51.2,1
994,-75.69,-34.8,-1
995,33.59,-24.11,-1
996,99.18,-86.17,-1
997,-21.11,-26.42,-1
998,-20.22,29.32,1
999,24.3,-31.14,-1
